,user,id,text,categories,notes
0,ty_pham-swann@brown.edu,1,"CO2 Science Sheffer et al. conclude that ""the extraordinary flood of 2002 was not the largest in the basin"" of the Gardon River. And their findings and those of many others, both in France and elsewhere, suggest that the really huge European floods of the past few centuries occurred during colder rather than warmer times, which relationship is just the opposite of what the world's climate alarmists claim to be the case.",['1.7 Extremes not increasing'],
1,ty_pham-swann@brown.edu,2,"The reason I think Tiberius Gracchus is a good analog is that Gracchus too took actions that were technically legal. Tribunes always technically had the legal power to bypass the Senate, but in hundreds of years had never done so. Despite their technical legality, his actions were seenat the timeas extremely aggressive and plowing new Constitutional ground, ground that would soon become a fertile field for authoritarians to enhance their power.",['0 No claim'],
2,ty_pham-swann@brown.edu,3,"This is the opposite pattern to what would be expected if man-made greenhouse gases were the cause, as even alarmists claim the increase in greenhouse gases has only had a significant effect since 1950. Instead, this new paper demonstrates Eastern Arctic temperatures peaked in the early 20th century, followed by a declining trend to the end of the record in 2000.",['1.4 Hiatus in warming'],?
3,ty_pham-swann@brown.edu,4,"In the midst of the final negotiations over that bill, I found myself on the phone with Sen. James Inhofe, the conservative Oklahoma Republican best known in my circles for throwing a snowball on the Senate floor to mock global warming. But we didn't talk about any of that.",['0 No claim'],
4,ty_pham-swann@brown.edu,5,"We’re doing this by working at the grassroots, helping communities on projects that range from building biogas digesters (so families can have clean, efficient fuel for cooking and light), to teaching farmers how to grow their food using less water and fertilizer, to developing local sources of solar power. The potential for this kind of work to mitigate climate change, while supporting development and food security, is enormous.",['0 No claim'],
5,ty_pham-swann@brown.edu,6,"Call it an economic train wreck, a constitutional crisis, orlegslative thuggery. Litigation-drivenregulation of carbon dioxide (CO2)under the Clean Air Act (CAA) is all of the above.",['4.1 Climate policies are harmful'],
6,ty_pham-swann@brown.edu,7,"Fueling this hope is the Fourth Wave of environmental progress, where the exponential growth in innovation will empower people – business leaders, entrepreneurs, investors, individuals and communities – to take action and fill the gaps in environmental leadership.",['0 No claim'],
7,ty_pham-swann@brown.edu,8,"The operative word is ""empower,"" which is the purpose of the Assessment. It is to provide cover for a massive regulatory intrusion, and concomitant enormous costs in resources and individual liberty. History tells us that when scientists willingly endorse sweeping governmental agendas fueled by dodgy science, bad things soon happen. To borrow the meter of Winston Churchill:",['4.1.1 Policy increases costs'],
8,ty_pham-swann@brown.edu,9,"I disagreed with Hantemirovs comments in an inline comment. Although this was only a blog article, I provided considerable detail on the calculation, including turnkey code to generate all graphics and results cited in the post. In addition, I have a good record of responding to requests for clarification. So I didnt and dont accept Hantemirovs criticism. That the later Briffa et al 2013 Yamal chronology was similar to my calculation is further support that I had replicated the most important ingredients of their methodology. Be that as it may, the first part of the sentence reported Hantemirovs intervention and is factually correct.",['0 No claim'],?
9,ty_pham-swann@brown.edu,10,"The headline at Science Daily is that wildfires and other burns lead to climate change. The paper itself asks: As such, particle burn-off of clouds may be a major underrecognized source of global warming. For me what matters are the deaths in the here and now:",['0 No claim'],?
10,ty_pham-swann@brown.edu,11,"How the nation should develop its oil and natural gas resources is a matter of passionate debate. But amid all the controversy, real progress is taking place. For example, last Friday, the Texas Railroad Commission (RRC) announced its biggest overhaul of oil and gas rules in over thirty years.",['0 No claim'],
11,ty_pham-swann@brown.edu,12,"More on the Seas that are not rising , or warming. Scientists have confirmed that they are still wet, they think.",['1.6 Sea level rise exaggerated'],
12,ty_pham-swann@brown.edu,13,Find Events,['0 No claim'],
13,ty_pham-swann@brown.edu,14,Judge: NYT reporter need not identify sources:,['0 No claim'],
14,ty_pham-swann@brown.edu,15,"Critics accuse GMO of being unhealthy, increasing chemical pollution, threatening other species, causing dangerous side effects, and harming the environment. But as plant molecular biologist Robert Goldberg of UCLA points out, ""In spite of hundreds of millions of genetic experiments involving every type of organism on earth, and people eating billions of meals without a problem, we've gone back to being ignorant.""",['0 No claim'],
15,ty_pham-swann@brown.edu,16,"Over most of Antarctica, near-surface temperature and snowfall have not increased significantly.","[""1.1.1 Antarctica isn't melting""]",
16,ty_pham-swann@brown.edu,17,"Increasing affluence and changing consumer choices have contributed to a rapid rise in demand for air conditioners in India, as analyzed in, “Cooling India with Less Warming: The Business Case for Phasing Down HFCs in Room and Vehicle Air Conditioners,” a joint paper with the Council on Energy, Environment and Water, The Energy and Resources Institute, Institute for Governance & Sustainable Development and the Natural Resources Defense Council.",['0 No claim'],
17,ty_pham-swann@brown.edu,18,"A PhD and a computer have, so far, been insufficient tools to provide useful predictions of the future of our climate system. The current state of climate science ??? or maybe I should say, how scientists have allowed the media and politicians to portray it ??? is a continuing source of embarrassment to some of us.","['5.1.4 Models are unreliable', '5.2.2 Media is alarmist', '5.2.3 Politicians are biased']",
18,ty_pham-swann@brown.edu,19,"Another cause could be low solar activity, Mr Fisher said.",['0 No claim'],?
19,ty_pham-swann@brown.edu,20,"In all, the president is requesting a massive 30-percent cut to the EPA, a budget reduction greater than any other department or agency is facing. It would return the EPA’s real budget to where it was 40-plus years ago. In addition to hampering our ability to help communities devastated by storms, such a cut would have a dramatic impact on public health and the environment everywhere.",['0 No claim'],
20,ty_pham-swann@brown.edu,21,"The citizens seem to prefer some sort of an incinerator. However, designing an incinerator/thermal oxidizer that can safely feed the propellent granules and maintain stable temperatures, get one on site and get the necessary approvals seems like a tall order in, now, less than 90 days. In my opinion, the EPA has not really gotten away from the open burning plan. It has just allowed a delay to remove some of the heat they are taking.",['0 No claim'],
