id,text,user_1,user_2,category_1,category_2,llm_label,intermediary_response,valid_subclaims
653,"(By convention, a failed to falsify result should be accompanied by an estimate of the error, or statistical power. I havent seen these discussed in the climate blog wars, but I do intend to extend my spreadsheet to include these at some point. Reporting both and errors are important if people are to draw inferences about statistical results.)",ty_pham-swann@brown.edu,william_kattrup@brown.edu,0,0,0,['5.1'],[]
139,"Environmental Defense Fund is a nonprofit, tax-exempt charitable organization under Section 501(c)(3) of the Internal Revenue Code. Donations are tax-deductible as allowed by law. Tax identification number 11-6107128.",ty_pham-swann@brown.edu,william_kattrup@brown.edu,0,0,0,[],[]
570,"A book that raised hackles and experienced personal attacks from the environmentalists was Bjorn Lomborg?s The Skeptical Environmentalist. UN IPCC chief, Rajendra Pachauri, compared him to Hitler. It is typical of Pachauri?s lack of understanding and undiplomatic reactions, but he wasn?t alone. Almost everyone, including most skeptics, misunderstood what Lomborg was saying, especially about climate. People on both sides of the climate issue were fooled by Lomborg?s use of ?skeptic? in his title. Too many people designated climate skeptics by the warming alarmists and those questioning extreme environmentalism were desperate for a public relations victory.",ty_pham-swann@brown.edu,william_kattrup@brown.edu,2,2,2,"['5.2', '5.3']",['5.2']
302,EARTHS ENERGY IMBALANCE (ABSOLUTE) IN CMIP5 MODELS,ty_pham-swann@brown.edu,william_kattrup@brown.edu,0,0,0,[],[]
507,"This, unfortunately, is not atypical. Under gatekeeper Neal Lane , the Baker Institute has refused to allow fair, open debate about natural versus anthropogenic climate forces and has championed sky-is-falling government activism. For example, Lane/Baker:",ty_pham-swann@brown.edu,william_kattrup@brown.edu,2,2,2,"['5.2', '5.3']",['5.2']
219,Economist Mag. slapped down for 'clearly biased and misleading' climate reporting,ty_pham-swann@brown.edu,william_kattrup@brown.edu,0,0,2,['5.2'],['5.2']
612,"But Hubbert, who died in 1989,did not live to see the ??? shale revolution .??During the past decade, advances in directional drilling and hydraulic fracturing have made it economical to extract oil from the pores of rock. Although U.S. petroleum production is still lower than it was at its peak in 1970,it has increased every year since 2008 with no end in sight.",ty_pham-swann@brown.edu,william_kattrup@brown.edu,0,1,1,['4.6'],['4.6']
647,"Dr. Alpert is a Senior Scientist in the Office of the Chief Scientist. She leads an initiative to characterize and address chokepoints in realizing the potential of climate mitigation technologies. She also works closely with the Methane, Climate, and International Cooperation work streams, leveraging international scientific climate assessments and institutions to support climate change mitigation.",ty_pham-swann@brown.edu,william_kattrup@brown.edu,0,0,0,[],[]
253,"In his comment, Brian Cox wrote lots of wrong things about locality in quantum mechanics and the Pauli principle but he also mentioned the lunar story:",ty_pham-swann@brown.edu,william_kattrup@brown.edu,0,0,0,[],[]
217,Highest Court in DC Allows Second Amendment Challenges to Long-Ago Convictions for Violating D.C. Handgun Ban:,ty_pham-swann@brown.edu,william_kattrup@brown.edu,0,0,0,[],[]
